# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-24T02-44-25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-24T02:44:25
# E0	-3.0396598110480402e-6
# l0	3.4641016151377544
# Ep	4.480566836510487e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	3.141592653589793	3.267256359733385	0.0006826950059153707
-1.	3.141592653589793	3.2986722862692828	0.0006810768247560488
-1.	3.141592653589793	3.330088212805181	0.0006795619664278142
-1.	3.141592653589793	3.3615041393410787	0.0006781558004625558
-1.	3.141592653589793	3.392920065876977	0.0006768635145637654
-1.	3.141592653589793	3.4243359924128747	0.0006756900548114643
-1.	3.141592653589793	3.455751918948773	0.0006746400669972725
-1.	3.141592653589793	3.4871678454846706	0.0006737178535953875
-1.	3.141592653589793	3.518583772020569	0.0006729273022270415
-1.	3.141592653589793	3.5499996985564657	0.0006722718421109542
-1.	3.141592653589793	3.581415625092364	0.0006717543947817358
-1.	3.141592653589793	3.6128315516282616	0.0006713773434393097
-1.	3.141592653589793	3.64424747816416	0.0006711424621343881
-1.	3.141592653589793	3.6756634047000576	0.0006710509425752064
-1.	3.141592653589793	3.707079331235956	0.0006711033250051151
-1.	3.141592653589793	3.7384952577718535	0.0006712995208755908
-1.	3.141592653589793	3.7699111843077517	0.0006716388041527586
-1.	3.141592653589793	3.8013271108436495	0.0006721198142270836
-1.	3.141592653589793	3.8327430373795477	0.0006727406056657404
-1.	3.141592653589793	3.8641589639154454	0.0006734986267110381
-1.	3.141592653589793	3.8955748904513436	0.0006743908160736741
-1.	3.141592653589793	3.9269908169872414	0.0006754135880448645
-1.	3.141592653589793	3.958406743523139	0.000676562938351666
-1.	3.141592653589793	3.9898226700590373	0.000677834448411858
-1.	3.141592653589793	4.0212385965949355	0.0006792233712515552
-1.	3.141592653589793	4.052654523130833	0.0006807246690397702
-1.	3.141592653589793	4.084070449666731	0.0006823330839512028
-1.	3.141592653589793	4.115486376202629	0.0006840431762550738
-1.	3.141592653589793	4.1469023027385274	0.0006858493927327701
-1.	3.141592653589793	4.178318229274425	0.000687746099075803
-1.	3.141592653589793	4.209734155810323	0.0006897276386601431
-1.	3.141592653589793	4.241150082346221	0.0006917883609804823
-1.	3.141592653589793	4.272566008882119	0.0006939226645163904
-1.	3.141592653589793	4.303981935418017	0.0006961250252316353
-1.	3.141592653589793	4.335397861953914	0.0006983900227858419
-1.	3.141592653589793	4.366813788489812	0.0007007123563365633
-1.	3.141592653589793	4.39822971502571	0.0007030868843872062
-1.	3.141592653589793	4.429645641561608	0.0007055086092294515
-1.	3.141592653589793	4.461061568097506	0.0007079727088730663
-1.	3.141592653589793	4.492477494633404	0.0007104745367900036
-1.	3.141592653589793	4.523893421169302	0.0007130096184289374
-1.	3.141592653589793	4.5553093477052	0.0007155736757620333
-1.	3.141592653589793	4.586725274241098	0.0007181625995438346
-1.	3.141592653589793	4.6181412007769955	0.0007207724730645695
-1.	3.141592653589793	4.649557127312894	0.0007233995454046866
-1.	3.141592653589793	4.680973053848792	0.0007260402490710168
-1.	3.141592653589793	4.71238898038469	0.0007286911800794456
-1.	3.141592653589793	4.743804906920587	0.0007313490971056636
-1.	3.141592653589793	4.775220833456485	0.0007340109139899593
-1.	3.141592653589793	4.806636759992384	0.0007366737016824366
-1.	3.141592653589793	4.838052686528282	0.0007393346593229329
-1.	3.141592653589793	4.869468613064179	0.0007419911385269336
-1.	3.141592653589793	4.900884539600077	0.0007446406071664622
-1.	3.141592653589793	4.932300466135976	0.0007472806555841513
-1.	3.141592653589793	4.9637163926718735	0.0007499089975044221
-1.	3.141592653589793	4.995132319207771	0.0007525234530331383
-1.	3.141592653589793	5.026548245743669	0.0007551219397702103
-1.	3.141592653589793	5.057964172279568	0.0007577024775008638
-1.	3.141592653589793	5.089380098815465	0.0007602631733245685
-1.	3.141592653589793	5.120796025351362	0.0007628022297173172
-1.	3.141592653589793	5.15221195188726	0.0007653179160966446
-1.	3.141592653589793	5.183627878423159	0.0007678085853908371
-1.	3.141592653589793	5.215043804959056	0.0007702726686387116
-1.	3.141592653589793	5.246459731494954	0.0007727086495020263
-1.	3.141592653589793	5.277875658030852	0.0007751150889411707
-1.	3.141592653589793	5.3092915845667505	0.0007774906053126399
-1.	3.141592653589793	5.340707511102648	0.0007798338670792387
-1.	3.141592653589793	5.372123437638546	0.0007821436035923347
-1.	3.141592653589793	5.403539364174444	0.000784418599067103
-1.	3.141592653589793	5.4349552907103424	0.0007866576690526723
-1.	3.141592653589793	5.46637121724624	0.0007888596969656636
-1.	3.141592653589793	5.497787143782138	0.0007910235951529963
-1.	3.141592653589793	5.529203070318036	0.0007931483234237687
-1.	3.141592653589793	5.5606189968539335	0.0007952328790018238
-1.	3.141592653589793	5.592034923389832	0.0007972763017624455
-1.	3.141592653589793	5.62345084992573	0.0007992776649653644
-1.	3.141592653589793	5.654866776461628	0.0008012360794390912
-1.	3.141592653589793	5.686282702997525	0.0008031506832459522
-1.	3.141592653589793	5.717698629533424	0.0008050206654360834
-1.	3.141592653589793	5.749114556069322	0.0008068452171586232
-1.	3.141592653589793	5.7805304826052195	0.0008086235911299716
