,E0,Ep,dL,phi,th_LRL
8001,0.,100.8,-1.,1.,0.
8006,0.,100.8,-1.,6.,0.
8011,0.,100.8,-1.,11.,0.
8018,0.,100.8,-1.,18.,0.
8022,0.,100.8,-1.,22.,0.
8026,0.,100.8,-1.,26.,0.
8027,0.,100.8,-1.,27.,0.
8037,0.,100.8,-1.,37.,0.
8039,0.,100.8,-1.,39.,0.
8048,0.,100.8,-1.,48.,0.
8049,0.,100.8,-1.,49.,0.
8050,0.,100.8,-1.,50.,0.
8054,0.,100.8,-1.,54.,0.
8058,0.,100.8,-1.,58.,0.
8060,0.,100.8,-1.,60.,0.
8065,0.,100.8,-1.,65.,0.
8067,0.,100.8,-1.,67.,0.
8085,0.,100.8,-1.,85.,0.
8095,0.,100.8,-1.,95.,0.
8141,0.,100.8,-1.,141.,0.
8157,0.,100.8,-1.,157.,0.
8162,0.,100.8,-1.,162.,0.
8179,0.,100.8,-1.,179.,0.
8181,0.,100.8,-1.,181.,0.
8188,0.,100.8,-1.,188.,0.
8189,0.,100.8,-1.,189.,0.
8190,0.,100.8,-1.,190.,0.
8193,0.,100.8,-1.,193.,0.
8194,0.,100.8,-1.,194.,0.
8196,0.,100.8,-1.,196.,0.
8400,0.,100.8,1.,0.,0.
8401,0.,100.8,1.,1.,0.
8406,0.,100.8,1.,6.,0.
8411,0.,100.8,1.,11.,0.
8418,0.,100.8,1.,18.,0.
8422,0.,100.8,1.,22.,0.
8426,0.,100.8,1.,26.,0.
8427,0.,100.8,1.,27.,0.
8437,0.,100.8,1.,37.,0.
8439,0.,100.8,1.,39.,0.
8448,0.,100.8,1.,48.,0.
8449,0.,100.8,1.,49.,0.
8450,0.,100.8,1.,50.,0.
8454,0.,100.8,1.,54.,0.
8458,0.,100.8,1.,58.,0.
8460,0.,100.8,1.,60.,0.
8465,0.,100.8,1.,65.,0.
8467,0.,100.8,1.,67.,0.
8485,0.,100.8,1.,85.,0.
8495,0.,100.8,1.,95.,0.
8541,0.,100.8,1.,141.,0.
8557,0.,100.8,1.,157.,0.
8562,0.,100.8,1.,162.,0.
8579,0.,100.8,1.,179.,0.
8581,0.,100.8,1.,181.,0.
8588,0.,100.8,1.,188.,0.
8589,0.,100.8,1.,189.,0.
8590,0.,100.8,1.,190.,0.
8593,0.,100.8,1.,193.,0.
8594,0.,100.8,1.,194.,0.
8596,0.,100.8,1.,196.,0.
8804,0.,115.2,-1.,4.,0.
8807,0.,115.2,-1.,7.,0.
8808,0.,115.2,-1.,8.,0.
8809,0.,115.2,-1.,9.,0.
8816,0.,115.2,-1.,16.,0.
8817,0.,115.2,-1.,17.,0.
8824,0.,115.2,-1.,24.,0.
8829,0.,115.2,-1.,29.,0.
8837,0.,115.2,-1.,37.,0.
8845,0.,115.2,-1.,45.,0.
8848,0.,115.2,-1.,48.,0.
8849,0.,115.2,-1.,49.,0.
8850,0.,115.2,-1.,50.,0.
8851,0.,115.2,-1.,51.,0.
8852,0.,115.2,-1.,52.,0.
8853,0.,115.2,-1.,53.,0.
8855,0.,115.2,-1.,55.,0.
8859,0.,115.2,-1.,59.,0.
8862,0.,115.2,-1.,62.,0.
8865,0.,115.2,-1.,65.,0.
8867,0.,115.2,-1.,67.,0.
8874,0.,115.2,-1.,74.,0.
8883,0.,115.2,-1.,83.,0.
8955,0.,115.2,-1.,155.,0.
8962,0.,115.2,-1.,162.,0.
8964,0.,115.2,-1.,164.,0.
8966,0.,115.2,-1.,166.,0.
8970,0.,115.2,-1.,170.,0.
8971,0.,115.2,-1.,171.,0.
8973,0.,115.2,-1.,173.,0.
8978,0.,115.2,-1.,178.,0.
8979,0.,115.2,-1.,179.,0.
8980,0.,115.2,-1.,180.,0.
8982,0.,115.2,-1.,182.,0.
8988,0.,115.2,-1.,188.,0.
8991,0.,115.2,-1.,191.,0.
8994,0.,115.2,-1.,194.,0.
8996,0.,115.2,-1.,196.,0.
9204,0.,115.2,1.,4.,0.
9207,0.,115.2,1.,7.,0.
9208,0.,115.2,1.,8.,0.
9209,0.,115.2,1.,9.,0.
9216,0.,115.2,1.,16.,0.
9217,0.,115.2,1.,17.,0.
9224,0.,115.2,1.,24.,0.
9229,0.,115.2,1.,29.,0.
9237,0.,115.2,1.,37.,0.
9245,0.,115.2,1.,45.,0.
9248,0.,115.2,1.,48.,0.
9249,0.,115.2,1.,49.,0.
9250,0.,115.2,1.,50.,0.
9251,0.,115.2,1.,51.,0.
9252,0.,115.2,1.,52.,0.
