,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
19600,-3.0396598110480402e-06,2.2402834182552434e-11,results\2018-02-01T03-52-26.txt,0.006204480577902862,3.6446021583507614e-35,1.0,0.0,6.167466274811555,9.467591209215422e-31,0.3190119047619048,1.82230123186126e-35
19800,-3.0396598110480402e-06,2.2402834182552434e-11,results\2018-02-01T03-52-26.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
20000,-3.0396598110480402e-06,2.8003542728190538e-11,results\2018-02-01T06-14-13.txt,0.04480458230012333,1.7792855152790218e-35,-1.0,0.0,0.5476963134806934,8.863408587368778e-33,0.19,8.896427704664472e-36
20200,-3.0396598110480402e-06,2.8003542728190538e-11,results\2018-02-01T06-14-13.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
20400,-3.0396598110480402e-06,2.8003542728190538e-11,results\2018-02-01T06-14-13.txt,0.04480458230012333,1.7792855152790218e-35,1.0,0.0,0.5476963134806934,8.863408587368778e-33,0.19,8.896427704664472e-36
20600,-3.0396598110480402e-06,2.8003542728190538e-11,results\2018-02-01T06-14-13.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
20800,-3.0396598110480402e-06,3.3604251273828646e-11,results\2018-02-23T21-55-18.txt,0.038310619431912336,1.2161709776695885e-35,-1.0,0.0,0.19020100080896646,8.286215426009911e-33,0.20191666666666666,6.080854950368715e-36
21000,-3.0396598110480402e-06,3.3604251273828646e-11,results\2018-02-23T21-55-18.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
21200,-3.0396598110480402e-06,3.3604251273828646e-11,results\2018-02-23T21-55-18.txt,0.038310619431912336,1.2161709776695885e-35,1.0,0.0,0.19020100080896646,8.286215426009911e-33,0.20191666666666666,6.080854950368715e-36
21400,-3.0396598110480402e-06,3.3604251273828646e-11,results\2018-02-23T21-55-18.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
23200,-3.0396598110480402e-06,3.64046055466477e-11,results\2018-02-24T05-24-44.txt,0.05693469753049067,1.3012247482993806e-35,-1.0,0.0,0.6360287139250235,4.014193351419299e-33,0.18100000000000002,6.506123757818953e-36
23400,-3.0396598110480402e-06,3.64046055466477e-11,results\2018-02-24T05-24-44.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
23600,-3.0396598110480402e-06,3.64046055466477e-11,results\2018-02-24T05-24-44.txt,0.05693469753049067,1.3012247482993806e-35,1.0,0.0,0.6360287139250235,4.014193351419299e-33,0.18100000000000002,6.506123757818953e-36
23800,-3.0396598110480402e-06,3.64046055466477e-11,results\2018-02-24T05-24-44.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
21600,-3.0396598110480402e-06,3.920495981946676e-11,results\2018-02-24T00-17-37.txt,0.04569271465020283,7.953015188971427e-36,-1.0,0.0,1.0185412317804765,3.809236100825349e-33,0.10333333333333332,3.9765076227528926e-36
21800,-3.0396598110480402e-06,3.920495981946676e-11,results\2018-02-24T00-17-37.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
22000,-3.0396598110480402e-06,3.920495981946676e-11,results\2018-02-24T00-17-37.txt,0.04569271465020283,7.953015188971427e-36,1.0,0.0,1.0185412317804765,3.809236100825349e-33,0.10333333333333332,3.9765076227528926e-36
22200,-3.0396598110480402e-06,3.920495981946676e-11,results\2018-02-24T00-17-37.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
22400,-3.0396598110480402e-06,4.480566836510487e-11,results\2018-02-24T02-44-25.txt,0.016567875410339505,6.491459367863452e-36,-1.0,0.0,1.685948374276572,2.3648777564901264e-32,0.16016666666666665,3.2457296830833984e-36
22600,-3.0396598110480402e-06,4.480566836510487e-11,results\2018-02-24T02-44-25.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
22800,-3.0396598110480402e-06,4.480566836510487e-11,results\2018-02-24T02-44-25.txt,0.016567875410339505,6.491459367863452e-36,1.0,0.0,1.685948374276572,2.3648777564901264e-32,0.16016666666666665,3.2457296830833984e-36
23000,-3.0396598110480402e-06,4.480566836510487e-11,results\2018-02-24T02-44-25.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
29600,-3.0396598110480402e-06,5.040637691074298e-11,results\2018-02-26T16-16-02.txt,0.02312683260367315,4.858818231556476e-36,-1.0,0.0,1.7893118522043827,9.08444359197204e-33,0.13458333333333333,2.4294090873646004e-36
29800,-3.0396598110480402e-06,5.040637691074298e-11,results\2018-02-26T16-16-02.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
30000,-3.0396598110480402e-06,5.040637691074298e-11,results\2018-02-26T16-16-02.txt,0.02312683260367315,4.858818231556476e-36,1.0,0.0,1.7893118522043827,9.08444359197204e-33,0.13458333333333333,2.4294090873646004e-36
30200,-3.0396598110480402e-06,5.040637691074298e-11,results\2018-02-26T16-16-02.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
24000,-3.0396598110480402e-06,5.6007085456381076e-11,results\2018-02-24T07-54-53.txt,0.02024981875992172,3.059980089160236e-36,-1.0,0.0,4.516922966005897,7.4623619592103e-33,0.07825,1.5299900220630142e-36
24200,-3.0396598110480402e-06,5.6007085456381076e-11,results\2018-02-24T07-54-53.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
24400,-3.0396598110480402e-06,5.6007085456381076e-11,results\2018-02-24T07-54-53.txt,0.02024981875992172,3.059980089160236e-36,1.0,0.0,4.516922966005897,7.4623619592103e-33,0.07825,1.5299900220630142e-36
24600,-3.0396598110480402e-06,5.6007085456381076e-11,results\2018-02-24T07-54-53.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
800,0.0,0.0,results\2018-01-26T03-39-00.txt,0.14272233406151486,6.257805864628482e-35,-1.0,0.0,0.7211664945593733,3.0721202765399673e-33,0.2375,3.1289029213872626e-35
1000,0.0,0.0,results\2018-01-26T03-39-00.txt,0.14272233406151486,6.707515350058065e-35,-1.0,3.1415926535897927,3.8627591481491663,3.292894396804055e-33,0.2375,3.3537576795183316e-35
1200,0.0,0.0,results\2018-01-26T03-39-00.txt,0.14272233406151486,6.257805864628482e-35,1.0,0.0,0.7211664945593733,3.0721202765399673e-33,0.2375,3.1289029213872626e-35
1400,0.0,0.0,results\2018-01-26T03-39-00.txt,0.14272233406151486,6.707515350058065e-35,1.0,3.1415926535897927,3.8627591481491663,3.292894396804055e-33,0.2375,3.3537576795183316e-35
0,0.0,1.4001771364095271e-12,results\2018-01-25T21-40-22.txt,0.11003184214544563,7.12496312188461e-35,-1.0,0.0,0.528914053539293,5.8849915033443976e-33,0.3441666666666666,3.5624815906515543e-35
200,0.0,1.4001771364095271e-12,results\2018-01-25T21-40-22.txt,0.1104402165406726,3.9163833801322e-35,-1.0,3.1415926535897927,3.738140298669167,3.2109289109242635e-33,0.175,1.9581917016986733e-35
400,0.0,1.4001771364095271e-12,results\2018-01-25T21-40-22.txt,0.11003184214544563,7.12496312188461e-35,1.0,0.0,0.528914053539293,5.8849915033443976e-33,0.3441666666666666,3.5624815906515543e-35
600,0.0,1.4001771364095271e-12,results\2018-01-25T21-40-22.txt,0.1104402165406726,3.9163833801322e-35,1.0,3.1415926535897927,3.738140298669167,3.2109289109242635e-33,0.175,1.9581917016986733e-35
1600,0.0,2.8003542728190542e-12,results\2018-01-26T06-24-46.txt,0.021498096360188287,1.1512564434688234e-34,-1.0,0.0,0.5228121230726188,2.490990411693291e-31,0.5504166666666667,5.756282056738292e-35
1800,0.0,2.8003542728190542e-12,results\2018-01-26T06-24-46.txt,0.09447536138731494,2.352115259119544e-35,-1.0,3.1415926535897927,3.6345832860506593,2.635248041005154e-33,0.1225,1.176057641982851e-35
2000,0.0,2.8003542728190542e-12,results\2018-01-26T06-24-46.txt,0.021498096360188287,1.1512564434688234e-34,1.0,0.0,0.5228121230726188,2.490990411693291e-31,0.5504166666666667,5.756282056738292e-35
2200,0.0,2.8003542728190542e-12,results\2018-01-26T06-24-46.txt,0.09447536138731494,2.352115259119544e-35,1.0,3.1415926535897927,3.6345832860506593,2.635248041005154e-33,0.1225,1.176057641982851e-35
