,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
3373,0.,5.6007085456381085e-12,-1.,5.4349552907103424,0.,ndsz,0.,3.417467698906728e8,3.5592984696519725e-6
3374,0.,5.6007085456381085e-12,-1.,5.46637121724624,0.,ndsz,0.,3.2569704940448534e8,-2.7469279384462197e-6
3380,0.,5.6007085456381085e-12,-1.,5.654866776461628,0.,ndsz,0.,9.47907882258854e8,-0.00005963812557041592
3495,0.,5.6007085456381085e-12,-1.,2.9845130209103035,3.141592653589793,ndsz,0.,7.584170397757462e8,-8.073133187735948e-6
3503,0.,5.6007085456381085e-12,-1.,3.235840433197487,3.141592653589793,mxst,0.,9.157871827808809e8,-0.00008111043469311698
3506,0.,5.6007085456381085e-12,-1.,3.330088212805181,3.141592653589793,mxst,0.,1.7522761016264348e9,-0.000022363297405416282
3523,0.,5.6007085456381085e-12,-1.,3.8641589639154454,3.141592653589793,ndsz,0.,7.354160793385658e8,-0.000017208388431555477
3536,0.,5.6007085456381085e-12,-1.,4.272566008882119,3.141592653589793,ndsz,0.,6.69201589629281e8,-5.939878057859005e-6
3537,0.,5.6007085456381085e-12,-1.,4.303981935418017,3.141592653589793,ndsz,0.,8.221081252925048e8,-1.5764305274501567e-6
3539,0.,5.6007085456381085e-12,-1.,4.366813788489812,3.141592653589793,ndsz,0.,5.243171825484708e8,-0.000010768162939989168
3601,0.,5.6007085456381085e-12,1.,0.031415926535897934,0.,ndsz,0.,4.70993001342885e8,-3.999100883333995e-6
3604,0.,5.6007085456381085e-12,1.,0.12566370614359174,0.,mxst,0.,2.6169150900770555e9,-0.00001781407585217411
3613,0.,5.6007085456381085e-12,1.,0.4084070449666731,0.,ndsz,0.,5.847542502206225e8,-9.57537049828261e-6
3618,0.,5.6007085456381085e-12,1.,0.5654866776461628,0.,ndsz,0.,5.981859637623975e8,-9.808712960079902e-6
3628,0.,5.6007085456381085e-12,1.,0.8796459430051422,0.,ndsz,0.,8.099361171991652e8,-0.00005395951977504865
3650,0.,5.6007085456381085e-12,1.,1.5707963267948966,0.,mxst,0.,1.249078341790865e9,-0.00007119839619398416
3653,0.,5.6007085456381085e-12,1.,1.6650441064025905,0.,mxst,0.,2.459003004289614e9,-0.000025522000224959595
3654,0.,5.6007085456381085e-12,1.,1.6964600329384885,0.,ndsz,0.,4.962821162864155e8,-3.6149423578990536e-6
3657,0.,5.6007085456381085e-12,1.,1.790707812546182,0.,ndsz,0.,5.302888453500453e8,1.601106447424172e-8
3659,0.,5.6007085456381085e-12,1.,1.853539665617978,0.,mxst,0.,1.858066834992886e9,-0.000020112810414738003
3661,0.,5.6007085456381085e-12,1.,1.9163715186897738,0.,mxst,0.,2.5039033711190963e9,-0.000041913325629249344
3664,0.,5.6007085456381085e-12,1.,2.0106192982974678,0.,ndsz,0.,4.0814048920484185e8,4.020792431447262e-6
3665,0.,5.6007085456381085e-12,1.,2.0420352248333655,0.,ndsz,0.,4.284823427322052e8,-2.1661329844824273e-6
3682,0.,5.6007085456381085e-12,1.,2.57610597594363,0.,ndsz,0.,8.268274667312505e8,8.077545408504327e-6
3773,0.,5.6007085456381085e-12,1.,5.4349552907103424,0.,ndsz,0.,3.417467698906728e8,3.5592984696519725e-6
3774,0.,5.6007085456381085e-12,1.,5.46637121724624,0.,ndsz,0.,3.2569704940448534e8,-2.7469279384462197e-6
3780,0.,5.6007085456381085e-12,1.,5.654866776461628,0.,ndsz,0.,9.47907882258854e8,-0.00005963812557041592
3895,0.,5.6007085456381085e-12,1.,2.9845130209103035,3.141592653589793,ndsz,0.,7.584170397757462e8,-8.073133187735948e-6
3903,0.,5.6007085456381085e-12,1.,3.235840433197487,3.141592653589793,mxst,0.,9.157871827808809e8,-0.00008111043469311698
3906,0.,5.6007085456381085e-12,1.,3.330088212805181,3.141592653589793,mxst,0.,1.7522761016264348e9,-0.000022363297405416282
3923,0.,5.6007085456381085e-12,1.,3.8641589639154454,3.141592653589793,ndsz,0.,7.354160793385658e8,-0.000017208388431555477
3936,0.,5.6007085456381085e-12,1.,4.272566008882119,3.141592653589793,ndsz,0.,6.69201589629281e8,-5.939878057859005e-6
3937,0.,5.6007085456381085e-12,1.,4.303981935418017,3.141592653589793,ndsz,0.,8.221081252925048e8,-1.5764305274501567e-6
