# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-31-11.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:31:11
# Dir	-1
# field	1.9446904672354544e-12
# zi	-6.
W	field	zb	t	argt
0.000010790792329220544	1.9446904672354544e-12	-5.640021789360175e6	2.3512833839144835e9	0.
0.00001276657120640177	1.9446904672354544e-12	-6.642251191898742e6	2.56641274002178e9	0.
0.000014742350083582997	1.9446904672354544e-12	-7.648056340600219e6	2.764565808179798e9	0.
8.96699644259172e-6	1.9446904672354544e-12	-4.719960717295425e6	2.1332501419173565e9	0.
0.000010942775319772945	1.9446904672354544e-12	-5.716947771152466e6	2.3685373222612824e9	0.
0.000012918554196954172	1.9446904672354544e-12	-6.719513828864525e6	2.5822060611632056e9	0.
0.000014894333074135398	1.9446904672354544e-12	-7.725534836353162e6	2.779211881310141e9	0.
9.11897943314412e-6	1.9446904672354544e-12	-4.796377756656492e6	2.15226961748825e9	0.
0.000011094758310325348	1.9446904672354544e-12	-5.7939058384868065e6	2.3856646216194077e9	0.
0.000013070537187506573	1.9446904672354544e-12	-6.796796480798967e6	2.5979014864466844e9	0.
0.0000150463160646878	1.9446904672354544e-12	-7.8030266105586765e6	2.793779638525615e9	0.
9.270962423696523e-6	1.9446904672354544e-12	-4.87284808349122e6	2.1711219344137483e9	0.
0.00001124674130087775	1.9446904672354544e-12	-5.870894767440541e6	2.402667949784448e9	0.
0.000013222520178058976	1.9446904672354544e-12	-6.874098487427932e6	2.6135008755112376e9	0.
0.000015198299055240203	1.9446904672354544e-12	-7.880531278033779e6	2.8082702814596324e9	0.
9.422945414248926e-6	1.9446904672354544e-12	-4.949369331851712e6	2.1898112264830413e9	0.
0.000011398724291430151	1.9446904672354544e-12	-5.947913394635444e6	2.4195498960393786e9	0.
0.000013374503168611378	1.9446904672354544e-12	-6.9514192168907e6	2.6290058574345446e9	0.
0.000015350282045792605	1.9446904672354544e-12	-7.958048468228752e6	2.8226851098059535e9	0.
9.574928404801327e-6	1.9446904672354544e-12	-5.025939270863263e6	2.2083414083125105e9	0.
0.000011550707281982554	1.9446904672354544e-12	-6.024960613596554e6	2.4363130028597493e9	0.
0.00001352648615916378	1.9446904672354544e-12	-7.028758064244544e6	2.644418190076536e9	0.
0.000015502265036345005	1.9446904672354544e-12	-8.035577824544497e6	2.837025202452915e9	0.
9.72691139535373e-6	1.9446904672354544e-12	-5.102555795431718e6	2.2267162575363703e9	0.
0.000011702690272534956	1.9446904672354544e-12	-6.102035371366499e6	2.4529596507970433e9	0.
0.000013678469149716182	1.9446904672354544e-12	-7.106114450061703e6	2.659739461721603e9	0.
0.000015654248026897407	1.9446904672354544e-12	-8.113119003687442e6	2.8512917347729597e9	0.
9.878894385906132e-6	1.9446904672354544e-12	-5.179216917689664e6	2.2449394374189653e9	0.
0.000011854673263087357	1.9446904672354544e-12	-6.179136665355014e6	2.46949221327273e9	0.
0.000013830452140268584	1.9446904672354544e-12	-7.183487819112249e6	2.6749712662390356e9	0.
0.00001580623101744981	1.9446904672354544e-12	-8.190671675059621e6	2.865485822570945e9	0.
0.000015958214008002212	1.9446904672354544e-12	-8.268235520181716e6	2.879608554569615e9	0.
0.000017782009894631037	1.9446904672354544e-12	-9.199771658316307e6	3.0438778129277716e9	0.
0.00001960580578125986	1.9446904672354544e-12	-1.0132460064415414e7	3.1995720463222566e9	0.
0.000021429601667888686	1.9446904672354544e-12	-1.1066012211358687e7	3.347909582749975e9	0.
0.000016110196998554615	1.9446904672354544e-12	-8.345810232147055e6	2.893660990202911e9	0.
0.00001793399288518344	1.9446904672354544e-12	-9.27745641471087e6	3.057160952475879e9	0.
0.00002158158465844109	1.9446904672354544e-12	-1.1143840469411936e7	3.3599705044797826e9	0.
0.000016262179989107018	1.9446904672354544e-12	-8.423395515104618e6	2.907644167817611e9	0.
0.000018085975875735842	1.9446904672354544e-12	-9.355148898810862e6	3.070385538348165e9	0.
0.000019757788771812264	1.9446904672354544e-12	-1.0210226320475787e7	3.212199813257456e9	0.
0.000021733567648993488	1.9446904672354544e-12	-1.1221673210796323e7	3.3719874682989473e9	0.
0.000016414162979659417	1.9446904672354544e-12	-8.50099108376931e6	2.921559097520611e9	0.
0.00001823795886628824	1.9446904672354544e-12	-9.432848921893395e6	3.0835522822417874e9	0.
0.000019909771762364663	1.9446904672354544e-12	-1.0287998391889917e7	3.2247771914695334e9	0.
0.00002188555063954589	1.9446904672354544e-12	-1.1299510343617326e7	3.3839611499396214e9	0.
0.00001656614597021182	1.9446904672354544e-12	-8.578596662957858e6	2.9354067667898903e9	0.
0.000018389941856840644	1.9446904672354544e-12	-9.510556301296104e6	3.0966621013893332e9	0.
0.000020061754752917066	1.9446904672354544e-12	-1.036577614902512e7	3.237304957844904e9	0.
0.000022037533630098293	1.9446904672354544e-12	-1.1377351778464777e7	3.395891859341299e9	0.
0.000016718128960764222	1.9446904672354544e-12	-8.656211987148743e6	2.949188104576944e9	0.
0.000018541924847393046	1.9446904672354544e-12	-9.588270860177169e6	3.1097155659970965e9	0.
0.00002021373774346947	1.9446904672354544e-12	-1.0443559466054998e7	3.2497834878850965e9	0.
0.000022189516620650695	1.9446904672354544e-12	-1.1455197428329835e7	3.407780148245353e9	0.
0.000016870111951316625	1.9446904672354544e-12	-8.733836800064819e6	2.9629041204953165e9	0.
0.00001869390783794545	1.9446904672354544e-12	-9.665992427286636e6	3.1227134507140183e9	0.
0.00002036572073402187	1.9446904672354544e-12	-1.0521348220821442e7	3.2622134809389033e9	0.
0.000022341499611203098	1.9446904672354544e-12	-1.1533047208525201e7	3.4196264365390234e9	0.
0.000017022094941869027	1.9446904672354544e-12	-8.811470854277194e6	2.9765557021517844e9	0.
0.00001884589082849785	1.9446904672354544e-12	-9.743720836748341e6	3.1356564283137717e9	0.
0.000020517703724574274	1.9446904672354544e-12	-1.0599142294702524e7	3.2745954417568393e9	0.
0.0000224934826017555	1.9446904672354544e-12	-1.1610901036608513e7	3.431431169942113e9	0.
0.00001717407793242143	1.9446904672354544e-12	-8.88911391082919e6	2.990143825797796e9	0.
0.000018997873819050254	1.9446904672354544e-12	-9.821455927851915e6	3.1485452274269414e9	0.
0.000020669686715126676	1.9446904672354544e-12	-1.0676941572486065e7	3.2869300074831004e9	0.
0.0000226454655923079	1.9446904672354544e-12	-1.168875883230873e7	3.4431948135180383e9	0.
0.00001732606092297383	1.9446904672354544e-12	-8.96676573887917e6	3.003669164863882e9	0.
0.000019149856809602654	1.9446904672354544e-12	-9.89919754485432e6	3.1613806002501316e9	0.
0.000020821669705679075	1.9446904672354544e-12	-1.0754745942248529e7	3.2992176088099594e9	0.
0.000022797448582860302	1.9446904672354544e-12	-1.1766620517455384e7	3.454917704866955e9	0.
0.00001747804391352623	1.9446904672354544e-12	-9.044426115361193e6	3.017132658746455e9	0.
0.000019301839800155056	1.9446904672354544e-12	-9.976945536790408e6	3.1741630368592453e9	0.
0.000020973652696231478	1.9446904672354544e-12	-1.0832555295239057e7	3.3114588633649683e9	0.
0.000022949431573412705	1.9446904672354544e-12	-1.1844486015910575e7	3.4666003578430653e9	0.
0.000017630026904078634	1.9446904672354544e-12	-9.122094824662412e6	3.0305353040117745e9	0.
0.00001945382279070746	1.9446904672354544e-12	-1.0054699757292062e7	3.1868933386653857e9	0.
0.00002112563568678388	1.9446904672354544e-12	-1.0910369525768317e7	3.323654240235452e9	0.
0.000023101414563965108	1.9446904672354544e-12	-1.1922355253503563e7	3.478243126310927e9	0.
0.000021277618677336283	1.9446904672354544e-12	-1.0988188531102e7	3.335804356156829e9	0.
0.00002325339755451751	1.9446904672354544e-12	-1.200022815796789e7	3.489846449591577e9	0.
0.000025077193441146335	1.9446904672354544e-12	-1.2934965074773492e7	3.6261487982396708e9	0.
